Source Name	Comment[ENA_SAMPLE]	Material Type	Provider	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[strain]	Characteristics[specimen with known storage state]	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_SELECTION]	Comment[NOMINAL_LENGTH]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[MD5]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	FactorValue[developmental stage]
early_cleavage_replica1	ERS427210	whole organism	Adamska Group, Sars Centre	Sycon ciliatum	early cleavage	Sycon ciliatum	fresh	P-MTAB-38210	P-MTAB-38211	P-MTAB-38212	P-MTAB-38213	early_cleavage1	RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	250	5'-3'-3'-5'	P-MTAB-38214	Norwegian Sequencing Centre	early_cleavage1	sequencing assay	ERX432900	early_cleavage1.R1.fastq.gz	early_cleavage1.R1.fastq.gz	ERR466673	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR466/ERR466673/ERR466673_1.fastq.gz	e4a27f20f9e92f7bf16fe3bcddb50f54	100	101	early cleavage
early_cleavage_replica1	ERS427210	whole organism	Adamska Group, Sars Centre	Sycon ciliatum	early cleavage	Sycon ciliatum	fresh	P-MTAB-38210	P-MTAB-38211	P-MTAB-38212	P-MTAB-38213	early_cleavage1	RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	250	5'-3'-3'-5'	P-MTAB-38214	Norwegian Sequencing Centre	early_cleavage1	sequencing assay	ERX432900	early_cleavage1.R2.fastq.gz	early_cleavage1.R2.fastq.gz	ERR466673	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR466/ERR466673/ERR466673_2.fastq.gz	01bd8dd81057a801c93797b0afcf9ec1	100	101	early cleavage
early_cleavage_replica2	ERS427209	whole organism	Adamska Group, Sars Centre	Sycon ciliatum	early cleavage	Sycon ciliatum	fresh	P-MTAB-38210	P-MTAB-38211	P-MTAB-38212	P-MTAB-38213	early_cleavage2	RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	250	5'-3'-3'-5'	P-MTAB-38214	Norwegian Sequencing Centre	early_cleavage2	sequencing assay	ERX432899	early_cleavage2.R1.fastq.gz	early_cleavage2.R1.fastq.gz	ERR466672	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR466/ERR466672/ERR466672_1.fastq.gz	eda92b225c8d8c73c98cdf6187884e39	100	101	early cleavage
early_cleavage_replica2	ERS427209	whole organism	Adamska Group, Sars Centre	Sycon ciliatum	early cleavage	Sycon ciliatum	fresh	P-MTAB-38210	P-MTAB-38211	P-MTAB-38212	P-MTAB-38213	early_cleavage2	RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	250	5'-3'-3'-5'	P-MTAB-38214	Norwegian Sequencing Centre	early_cleavage2	sequencing assay	ERX432899	early_cleavage2.R2.fastq.gz	early_cleavage2.R2.fastq.gz	ERR466672	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR466/ERR466672/ERR466672_2.fastq.gz	6769e9198a4cc0c473188551343f7421	100	101	early cleavage
early_postinversion_replica1	ERS427228	whole organism	Adamska Group, Sars Centre	Sycon ciliatum	early postinversion	Sycon ciliatum	fresh	P-MTAB-38210	P-MTAB-38211	P-MTAB-38212	P-MTAB-38213	early_postinversion1	RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	250	5'-3'-3'-5'	P-MTAB-38214	Norwegian Sequencing Centre	early_postinversion1	sequencing assay	ERX432918	early_postinversion1.R1.fastq.gz	early_postinversion1.R1.fastq.gz	ERR466680	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR466/ERR466680/ERR466680_1.fastq.gz	07a2c5c601ef9a5dd25de9a8727ecd8a	100	101	early postinversion
early_postinversion_replica1	ERS427228	whole organism	Adamska Group, Sars Centre	Sycon ciliatum	early postinversion	Sycon ciliatum	fresh	P-MTAB-38210	P-MTAB-38211	P-MTAB-38212	P-MTAB-38213	early_postinversion1	RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	250	5'-3'-3'-5'	P-MTAB-38214	Norwegian Sequencing Centre	early_postinversion1	sequencing assay	ERX432918	early_postinversion1.R2.fastq.gz	early_postinversion1.R2.fastq.gz	ERR466680	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR466/ERR466680/ERR466680_2.fastq.gz	820fab0069d44352b61a786ac60f5c7a	100	101	early postinversion
early_postinversion_replica2	ERS427226	whole organism	Adamska Group, Sars Centre	Sycon ciliatum	early postinversion	Sycon ciliatum	fresh	P-MTAB-38210	P-MTAB-38211	P-MTAB-38212	P-MTAB-38213	early_postinversion2	RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	250	5'-3'-3'-5'	P-MTAB-38214	Norwegian Sequencing Centre	early_postinversion2	sequencing assay	ERX432916	early_postinversion2.R1.fastq.gz	early_postinversion2.R1.fastq.gz	ERR466668	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR466/ERR466668/ERR466668_1.fastq.gz	84f29b63904f950650b212d0792cf545	100	101	early postinversion
early_postinversion_replica2	ERS427226	whole organism	Adamska Group, Sars Centre	Sycon ciliatum	early postinversion	Sycon ciliatum	fresh	P-MTAB-38210	P-MTAB-38211	P-MTAB-38212	P-MTAB-38213	early_postinversion2	RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	250	5'-3'-3'-5'	P-MTAB-38214	Norwegian Sequencing Centre	early_postinversion2	sequencing assay	ERX432916	early_postinversion2.R2.fastq.gz	early_postinversion2.R2.fastq.gz	ERR466668	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR466/ERR466668/ERR466668_2.fastq.gz	7b5f107c18f33b7341c13c536966a5a4	100	101	early postinversion
early_preinversion_replica1	ERS427208	whole organism	Adamska Group, Sars Centre	Sycon ciliatum	early preinversion	Sycon ciliatum	fresh	P-MTAB-38210	P-MTAB-38211	P-MTAB-38212	P-MTAB-38213	early_preinversion1	RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	250	5'-3'-3'-5'	P-MTAB-38214	Norwegian Sequencing Centre	early_preinversion1	sequencing assay	ERX432898	early_preinversion1.R1.fastq.gz	early_preinversion1.R1.fastq.gz	ERR466669	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR466/ERR466669/ERR466669_1.fastq.gz	0ab6d3de63ce4abfbe5d69e116d0a9d4	100	101	early preinversion
early_preinversion_replica1	ERS427208	whole organism	Adamska Group, Sars Centre	Sycon ciliatum	early preinversion	Sycon ciliatum	fresh	P-MTAB-38210	P-MTAB-38211	P-MTAB-38212	P-MTAB-38213	early_preinversion1	RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	250	5'-3'-3'-5'	P-MTAB-38214	Norwegian Sequencing Centre	early_preinversion1	sequencing assay	ERX432898	early_preinversion1.R2.fastq.gz	early_preinversion1.R2.fastq.gz	ERR466669	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR466/ERR466669/ERR466669_2.fastq.gz	99b0ff16cbbb4f428991b1c1881f3e43	100	101	early preinversion
