Source Name	Comment[ENA_SAMPLE]	Material Type	Provider	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[specimen with known storage state]	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_SELECTION]	Comment[NOMINAL_LENGTH]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[MD5]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	FactorValue[organism part]
non.reproductive_bottom_replica1	ERS427302	organism part	Adamska Group, Sars Centre	Sycon ciliatum	adult	bottom section	fresh	P-MTAB-38215	P-MTAB-38216	P-MTAB-38217	P-MTAB-38218	non.reproductive_bottom1	RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	250	5'-3'-3'-5'	P-MTAB-38219	Norwegian Sequencing Centre	non.reproductive_bottom1	sequencing assay	ERX432996	non.reproductive_bottom1.R1.fastq.gz	non.reproductive_bottom1.R1.fastq.gz	ERR466758	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR466/ERR466758/ERR466758_1.fastq.gz	201568f7a7450a55c72dd44e0590569f	101	102	bottom section
non.reproductive_bottom_replica1	ERS427302	organism part	Adamska Group, Sars Centre	Sycon ciliatum	adult	bottom section	fresh	P-MTAB-38215	P-MTAB-38216	P-MTAB-38217	P-MTAB-38218	non.reproductive_bottom1	RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	250	5'-3'-3'-5'	P-MTAB-38219	Norwegian Sequencing Centre	non.reproductive_bottom1	sequencing assay	ERX432996	non.reproductive_bottom1.R2.fastq.gz	non.reproductive_bottom1.R2.fastq.gz	ERR466758	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR466/ERR466758/ERR466758_2.fastq.gz	440e2cd0514796df169f60a920ac4b72	101	102	bottom section
non.reproductive_bottom_replica2	ERS427296	organism part	Adamska Group, Sars Centre	Sycon ciliatum	adult	bottom section	fresh	P-MTAB-38215	P-MTAB-38216	P-MTAB-38217	P-MTAB-38218	non.reproductive_bottom2	RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	250	5'-3'-3'-5'	P-MTAB-38219	Norwegian Sequencing Centre	non.reproductive_bottom2	sequencing assay	ERX432990	non.reproductive_bottom2.R1.fastq.gz	non.reproductive_bottom2.R1.fastq.gz	ERR466765	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR466/ERR466765/ERR466765_1.fastq.gz	8b24f407127a7ce983678138ce56cb0c	101	102	bottom section
non.reproductive_bottom_replica2	ERS427296	organism part	Adamska Group, Sars Centre	Sycon ciliatum	adult	bottom section	fresh	P-MTAB-38215	P-MTAB-38216	P-MTAB-38217	P-MTAB-38218	non.reproductive_bottom2	RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	250	5'-3'-3'-5'	P-MTAB-38219	Norwegian Sequencing Centre	non.reproductive_bottom2	sequencing assay	ERX432990	non.reproductive_bottom2.R2.fastq.gz	non.reproductive_bottom2.R2.fastq.gz	ERR466765	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR466/ERR466765/ERR466765_2.fastq.gz	e5b562a7c160e8c7bedeebf6fd954c4e	101	102	bottom section
non.reproductive_bottom_replica3	ERS427297	organism part	Adamska Group, Sars Centre	Sycon ciliatum	adult	bottom section	fresh	P-MTAB-38215	P-MTAB-38216	P-MTAB-38217	P-MTAB-38218	non.reproductive_bottom3	RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	250	5'-3'-3'-5'	P-MTAB-38219	Norwegian Sequencing Centre	non.reproductive_bottom3	sequencing assay	ERX432991	non.reproductive_bottom3.R1.fastq.gz	non.reproductive_bottom3.R1.fastq.gz	ERR466766	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR466/ERR466766/ERR466766_1.fastq.gz	8aa23c8d06dad339a37c022af3b63ea8	101	102	bottom section
non.reproductive_bottom_replica3	ERS427297	organism part	Adamska Group, Sars Centre	Sycon ciliatum	adult	bottom section	fresh	P-MTAB-38215	P-MTAB-38216	P-MTAB-38217	P-MTAB-38218	non.reproductive_bottom3	RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	250	5'-3'-3'-5'	P-MTAB-38219	Norwegian Sequencing Centre	non.reproductive_bottom3	sequencing assay	ERX432991	non.reproductive_bottom3.R2.fastq.gz	non.reproductive_bottom3.R2.fastq.gz	ERR466766	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR466/ERR466766/ERR466766_2.fastq.gz	983a7fb29bee6ed42be2317274b0ac86	101	102	bottom section
non.reproductive_middle_replica1	ERS427306	organism part	Adamska Group, Sars Centre	Sycon ciliatum	adult	bottom middle section	fresh	P-MTAB-38215	P-MTAB-38216	P-MTAB-38217	P-MTAB-38218	non.reproductive_middleb1	RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	250	5'-3'-3'-5'	P-MTAB-38219	Norwegian Sequencing Centre	non.reproductive_middleb1	sequencing assay	ERX433000	non.reproductive_middleb1.R1.fastq.gz	non.reproductive_middleb1.R1.fastq.gz	ERR466760	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR466/ERR466760/ERR466760_1.fastq.gz	b47f70d7a3b5d329f0b01dca9fae0afe	101	102	bottom middle section
non.reproductive_middle_replica1	ERS427306	organism part	Adamska Group, Sars Centre	Sycon ciliatum	adult	bottom middle section	fresh	P-MTAB-38215	P-MTAB-38216	P-MTAB-38217	P-MTAB-38218	non.reproductive_middleb1	RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	250	5'-3'-3'-5'	P-MTAB-38219	Norwegian Sequencing Centre	non.reproductive_middleb1	sequencing assay	ERX433000	non.reproductive_middleb1.R2.fastq.gz	non.reproductive_middleb1.R2.fastq.gz	ERR466760	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR466/ERR466760/ERR466760_2.fastq.gz	c4e5f6d3d200fc837f73f8c0a0b1c29a	101	102	bottom middle section
non.reproductive_middle_replica2	ERS427304	organism part	Adamska Group, Sars Centre	Sycon ciliatum	adult	bottom middle section	fresh	P-MTAB-38215	P-MTAB-38216	P-MTAB-38217	P-MTAB-38218	non.reproductive_middleb2	RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	250	5'-3'-3'-5'	P-MTAB-38219	Norwegian Sequencing Centre	non.reproductive_middleb2	sequencing assay	ERX432998	non.reproductive_middleb2.R1.fastq.gz	non.reproductive_middleb2.R1.fastq.gz	ERR466764	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR466/ERR466764/ERR466764_1.fastq.gz	d3b25f4f96c92756f3521a692aae7003	101	102	bottom middle section
non.reproductive_middle_replica2	ERS427304	organism part	Adamska Group, Sars Centre	Sycon ciliatum	adult	bottom middle section	fresh	P-MTAB-38215	P-MTAB-38216	P-MTAB-38217	P-MTAB-38218	non.reproductive_middleb2	RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	250	5'-3'-3'-5'	P-MTAB-38219	Norwegian Sequencing Centre	non.reproductive_middleb2	sequencing assay	ERX432998	non.reproductive_middleb2.R2.fastq.gz	non.reproductive_middleb2.R2.fastq.gz	ERR466764	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR466/ERR466764/ERR466764_2.fastq.gz	3b46f2bc6781a0087bdf90c5abe74efd	101	102	bottom middle section
non.reproductive_middle_replica3	ERS427300	organism part	Adamska Group, Sars Centre	Sycon ciliatum	adult	bottom middle section	fresh	P-MTAB-38215	P-MTAB-38216	P-MTAB-38217	P-MTAB-38218	non.reproductive_middleb3	RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	250	5'-3'-3'-5'	P-MTAB-38219	Norwegian Sequencing Centre	non.reproductive_middleb3	sequencing assay	ERX432994	non.reproductive_middleb3.R1.fastq.gz	non.reproductive_middleb3.R1.fastq.gz	ERR466759	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR466/ERR466759/ERR466759_1.fastq.gz	541575d25de1bc9497893a53259ce0e9	101	102	bottom middle section
non.reproductive_middle_replica3	ERS427300	organism part	Adamska Group, Sars Centre	Sycon ciliatum	adult	bottom middle section	fresh	P-MTAB-38215	P-MTAB-38216	P-MTAB-38217	P-MTAB-38218	non.reproductive_middleb3	RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	250	5'-3'-3'-5'	P-MTAB-38219	Norwegian Sequencing Centre	non.reproductive_middleb3	sequencing assay	ERX432994	non.reproductive_middleb3.R2.fastq.gz	non.reproductive_middleb3.R2.fastq.gz	ERR466759	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR466/ERR466759/ERR466759_2.fastq.gz	ca1caa4b3645fd1261a3d4dc15bd531a	101	102	bottom middle section
